ID,Name,Concepticon_ID,Concepticon_Gloss
250-narrow,narrow,1267,NARROW
251-deep,deep,1593,DEEP
252-shallow,shallow,193,SHALLOW
253-fullcup,full (cup),1429,FULL
254-emptycup,empty (cup),1624,EMPTY
255-hungry,hungry,1533,BE HUNGRY
256-thirsty,thirsty,847,THIRSTY
257-sweet,sweet,717,SWEET
258-sour,sour,1906,SOUR
259-bitter,bitter,887,BITTER
260-spicyhot,"spicy, hot",544,SPICY
261-ripe,ripe,178,RIPE
262-rottenfruit,rotten (fruit),1728,ROTTEN
263-rightcorrect,right [correct],1725,CORRECT (RIGHT)
264-wrong,wrong,1390,WRONG
265-fast,fast,1631,FAST
266-slow,slow,701,SLOW
267-same,same,200,SAME
268-different,different,2504,DIFFERENT
269-dry,dry,1398,DRY
270-wet,wet,1726,WET
271-hotweather,hot (weather),1286,HOT
272-coldweather,cold (weather),2483,COLD (OF WEATHER)
273-good,good,1035,GOOD
274-bad,bad,1292,BAD
275-new,new,1231,NEW
276-old,old,2112,OLD (AGED)
277-broken,broken,588,BROKEN
278-above,above,1741,ABOVE
279-below,below,1485,BELOW OR UNDER
280-far,far,1406,FAR
281-near,near,1942,NEAR
283-left,left,244,LEFT
284-black,black,163,BLACK
285-white,white,1335,WHITE
286-red,red,156,RED
287-green,green,1425,GREEN
288-yellow,yellow,1424,YELLOW
289-whennearfuture,when (near future),1238,WHEN
290-where,where,1237,WHERE
291-who,who,1235,WHO
292-what,what,1236,WHAT
293-howmany,how many,822,HOW MANY
294-thisthing,this thing,1214,THIS
295-thatthing,that thing,78,THAT
296-thesethings,these things,,
297-thosethings,those things,,
298-1s,1s,1209,I
299-2sfamiliar,2s (familiar),1215,THOU
300-2shonorific,2s (honorific),3292,THOU (HONORIFIC)
301-3sgenericmale,3s (generic/male),1211,HE
302-3sfemale,3s (female),1834,SHE
303-1p,1p,1212,WE
304-3p,3p,817,THEY
305-2pfamiliar,2p (familiar),1213,YOU
306-2phonorific,2p (honorific),3293,YOU (HONORIFIC)
