ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
TongpaiTongpaipara-4-star-1,,TongpaiTongpaipara,4-star,handugiɾi,handugiɾi,h a n d u g i ɾ i,,Kim2011,,,,
AshongMildhanpara-4-star-1,,AshongMildhanpara,4-star,ʂantokɪɾi,ʂantokɪɾi,ʂ a n t o k ɪ ɾ i,,Kim2011,,,,
DendakNoimailGutchagram-4-star-1,,DendakNoimailGutchagram,4-star,handugiɾi,handugiɾi,h a n d u g i ɾ i,,Kim2011,,,,
KhaliBeltolipara-4-star-1,,KhaliBeltolipara,4-star,handukguɾi,handukguɾi,h a n d u k g u ɾ i,,Kim2011,,,,
UsoiRobertpara-4-star-1,,UsoiRobertpara,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
UsoiBethanipara-4-star-1,,UsoiBethanipara,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
UsoiKatchaptali-4-star-1,,UsoiKatchaptali,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
AnokLaiphuKarbaripara-4-star-1,,AnokLaiphuKarbaripara,4-star,handukʰiɾi,handukʰiɾi,h a n d u kʰ i ɾ i,,Kim2011,,,,
KewaKrishnaDayalpara-4-star-1,,KewaKrishnaDayalpara,4-star,hantukuɾi,hantukuɾi,h a n t u k u ɾ i,,Kim2011,,,,
PhatungJarichandrapara-4-star-1,,PhatungJarichandrapara,4-star,handoguɾi,handoguɾi,h a n d o g u ɾ i,,Kim2011,,,,
DebbarmaDoluchara-4-star-1,,DebbarmaDoluchara,4-star,atʰukurui,atʰukurui,a tʰ u k u r ui,,Kim2011,,,,
DebbarmaSatchari-4-star-1,,DebbarmaSatchari,4-star,atʰukiri,atʰukiri,a tʰ u k i r i,,Kim2011,,,,
DebbarmaKhumuling-4-star-1,,DebbarmaKhumuling,4-star,atʰukiri,atʰukiri,a tʰ u k i r i,,Kim2011,,,,
MukchakBarbakpur-4-star-1,,MukchakBarbakpur,4-star,atʰukguri,atʰukguri,a tʰ u k g u r i,,Kim2011,,,,
RiangOldlankar-4-star-1,,RiangOldlankar,4-star,atʰɔkkʰrɔi,atʰɔkkʰrɔi,a tʰ ɔ k kʰ r ɔi,,Kim2011,,,,
AbengGajni-4-star-1,,AbengGajni,4-star,aʃki,aʃki,a ʃ k i,,Kim2011,,,,
ChibokNagarSontosh-4-star-1,,ChibokNagarSontosh,4-star,aʃikʰi,aʃikʰi,a ʃ i kʰ i,,Kim2011,,,,
AtongNalchapra-4-star-1,,AtongNalchapra,4-star,askui,askui,a s k ui,,Kim2011,,,,
Bangla-5-cloud-1,,Bangla,5-cloud,mɛgʰ,mɛgʰ,m ɛ gʰ,,Kim2011,,,,
UsoiBoroPharangsia-5-cloud-1,,UsoiBoroPharangsia,5-cloud,ʤuŋmoi,ʤuŋmoi,ʤ u ŋ m oi,,Kim2011,,,,
UsoiChotoMadhuk-5-cloud-1,,UsoiChotoMadhuk,5-cloud,ʤumoi,ʤumoi,ʤ u m oi,,Kim2011,,,,
GabingDolchariSapmara-5-cloud-1,,GabingDolchariSapmara,5-cloud,ʧoŋmui,ʧoŋmui,ʧ o ŋ m ui,,Kim2011,,,,
NaitongLombapara-5-cloud-1,,NaitongLombapara,5-cloud,ʧumui,ʧumui,ʧ u m ui,,Kim2011,,,,
KemaPakkhipara-5-cloud-1,,KemaPakkhipara,5-cloud,ʧʊmʊi,ʧʊmʊi,ʧ ʊ m ʊi,,Kim2011,,,,
TongpaiTongpaipara-5-cloud-1,,TongpaiTongpaipara,5-cloud,ʧʊmʊi,ʧʊmʊi,ʧ ʊ m ʊi,,Kim2011,,,,
AshongMildhanpara-5-cloud-1,,AshongMildhanpara,5-cloud,ʧuŋmui,ʧuŋmui,ʧ u ŋ m ui,,Kim2011,,,,
DendakNoimailGutchagram-5-cloud-1,,DendakNoimailGutchagram,5-cloud,ʧumui,ʧumui,ʧ u m ui,,Kim2011,,,,
KhaliBeltolipara-5-cloud-1,,KhaliBeltolipara,5-cloud,ʧumui,ʧumui,ʧ u m ui,,Kim2011,,,,
UsoiRobertpara-5-cloud-1,,UsoiRobertpara,5-cloud,ʤuŋmoi,ʤuŋmoi,ʤ u ŋ m oi,,Kim2011,,,,
UsoiBethanipara-5-cloud-1,,UsoiBethanipara,5-cloud,ʤuŋmoi,ʤuŋmoi,ʤ u ŋ m oi,,Kim2011,,,,
UsoiKatchaptali-5-cloud-1,,UsoiKatchaptali,5-cloud,ʤumoi,ʤumoi,ʤ u m oi,,Kim2011,,,,
AnokLaiphuKarbaripara-5-cloud-1,,AnokLaiphuKarbaripara,5-cloud,ʧʊmʊi,ʧʊmʊi,ʧ ʊ m ʊi,,Kim2011,,,,
KewaKrishnaDayalpara-5-cloud-1,,KewaKrishnaDayalpara,5-cloud,ʧʊmʊi,ʧʊmʊi,ʧ ʊ m ʊi,,Kim2011,,,,
PhatungJarichandrapara-5-cloud-1,,PhatungJarichandrapara,5-cloud,ʧumui,ʧumui,ʧ u m ui,,Kim2011,,,,
DebbarmaSatchari-5-cloud-1,,DebbarmaSatchari,5-cloud,ʧuŋmui,ʧuŋmui,ʧ u ŋ m ui,,Kim2011,,,,
DebbarmaKhumuling-5-cloud-1,,DebbarmaKhumuling,5-cloud,ʧumui,ʧumui,ʧ u m ui,,Kim2011,,,,
MukchakBarbakpur-5-cloud-1,,MukchakBarbakpur,5-cloud,watuiɾomkʰa,watuiɾomkʰa,w a t ui ɾ o m kʰ a,,Kim2011,,,,
RiangOldlankar-5-cloud-1,,RiangOldlankar,5-cloud,ʧuŋmoi,ʧuŋmoi,ʧ u ŋ m oi,,Kim2011,,,,
AbengGajni-5-cloud-1,,AbengGajni,5-cloud,gadɨla,gadɨla,g a d ɨ l a,,Kim2011,,,,
ChibokNagarSontosh-5-cloud-1,,ChibokNagarSontosh,5-cloud,gadla,gadla,g a d l a,,Kim2011,,,,
AtongNalchapra-5-cloud-1,,AtongNalchapra,5-cloud,gaʤɨla,gaʤɨla,g a ʤ ɨ l a,,Kim2011,,,,
Bangla-6-rain-1,,Bangla,6-rain,bɾɪʃʈi,bɾɪʃʈi,b ɾ ɪ ʃ ʈ i,,Kim2011,,,,
UsoiBoroPharangsia-6-rain-1,,UsoiBoroPharangsia,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
UsoiChotoMadhuk-6-rain-1,,UsoiChotoMadhuk,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
GabingDolchariSapmara-6-rain-1,,GabingDolchariSapmara,6-rain,watəi,watəi,w a t əi,,Kim2011,,,,
NaitongLombapara-6-rain-1,,NaitongLombapara,6-rain,watui,watui,w a t ui,,Kim2011,,,,
KemaPakkhipara-6-rain-1,,KemaPakkhipara,6-rain,watəi,watəi,w a t əi,,Kim2011,,,,
TongpaiTongpaipara-6-rain-1,,TongpaiTongpaipara,6-rain,watəi,watəi,w a t əi,,Kim2011,,,,
AshongMildhanpara-6-rain-1,,AshongMildhanpara,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
DendakNoimailGutchagram-6-rain-1,,DendakNoimailGutchagram,6-rain,watʊi,watʊi,w a t ʊi,,Kim2011,,,,
KhaliBeltolipara-6-rain-1,,KhaliBeltolipara,6-rain,watəi,watəi,w a t əi,,Kim2011,,,,
UsoiRobertpara-6-rain-1,,UsoiRobertpara,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
UsoiBethanipara-6-rain-1,,UsoiBethanipara,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
UsoiKatchaptali-6-rain-1,,UsoiKatchaptali,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
AnokLaiphuKarbaripara-6-rain-1,,AnokLaiphuKarbaripara,6-rain,watəi,watəi,w a t əi,,Kim2011,,,,
KewaKrishnaDayalpara-6-rain-1,,KewaKrishnaDayalpara,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
PhatungJarichandrapara-6-rain-1,,PhatungJarichandrapara,6-rain,jatoi,jatoi,j a t oi,,Kim2011,,,,
DebbarmaDoluchara-6-rain-1,,DebbarmaDoluchara,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
DebbarmaSatchari-6-rain-1,,DebbarmaSatchari,6-rain,watui,watui,w a t ui,,Kim2011,,,,
DebbarmaKhumuling-6-rain-1,,DebbarmaKhumuling,6-rain,watʊi,watʊi,w a t ʊi,,Kim2011,,,,
MukchakBarbakpur-6-rain-1,,MukchakBarbakpur,6-rain,watui,watui,w a t ui,,Kim2011,,,,
RiangOldlankar-6-rain-1,,RiangOldlankar,6-rain,watɔi,watɔi,w a t ɔi,,Kim2011,,,,
AbengGajni-6-rain-1,,AbengGajni,6-rain,mɨkkʰa,mɨkkʰa,m ɨ k kʰ a,,Kim2011,,,,
ChibokNagarSontosh-6-rain-1,,ChibokNagarSontosh,6-rain,mukkʰa,mukkʰa,m u k kʰ a,,Kim2011,,,,
AtongNalchapra-6-rain-1,,AtongNalchapra,6-rain,raŋ,raŋ,r a ŋ,,Kim2011,,,,
Bangla-7-rainbow-1,,Bangla,7-rainbow,ɾɔŋdʰɔnu,ɾɔŋdʰɔnu,ɾ ɔ ŋ dʰ ɔ n u,,Kim2011,,,,
UsoiBoroPharangsia-7-rainbow-1,,UsoiBoroPharangsia,7-rainbow,tɔiʧɔŋgli,tɔiʧɔŋgli,t ɔi ʧ ɔ ŋ g l i,,Kim2011,,,,
UsoiChotoMadhuk-7-rainbow-1,,UsoiChotoMadhuk,7-rainbow,tɔiʧɔŋgli,tɔiʧɔŋgli,t ɔi ʧ ɔ ŋ g l i,,Kim2011,,,,
